orderid,userid,departtimeforrestaurant,departtimefromrestaurant,arrivaltimeatrestaurant,deliverytimetocustomer,rating
20,59,2019-01-03 13:07:00,2019-01-03 13:13:00,2019-01-03 13:20:00,2019-01-03 13:25:00,4
21,76,2019-01-03 14:38:00,2019-01-03 14:45:00,2019-01-03 14:56:00,2019-01-03 15:14:00,5
22,59,2019-01-03 16:10:00,2019-01-03 16:18:00,2019-01-03 16:26:00,2019-01-03 16:33:00,3
23,63,2019-01-03 19:15:00,2019-01-03 19:34:00,2019-01-03 19:43:00,2019-01-03 20:00:00,4
24,68,2019-01-03 19:41:00,2019-01-03 19:59:00,2019-01-03 20:15:00,2019-01-03 20:20:00,3
25,62,2019-01-03 20:17:00,2019-01-03 20:27:00,2019-01-03 20:42:00,2019-01-03 20:53:00,3
26,51,2019-01-03 21:15:00,2019-01-03 21:31:00,2019-01-03 21:42:00,2019-01-03 21:50:00,5
27,68,2019-01-03 21:22:00,2019-01-03 21:41:00,2019-01-03 21:51:00,2019-01-03 21:56:00,5
28,55,2019-01-04 11:30:00,2019-01-04 11:45:00,2019-01-04 11:53:00,2019-01-04 12:12:00,4
29,77,2019-01-04 12:57:00,2019-01-04 13:16:00,2019-01-04 13:23:00,2019-01-04 13:29:00,5
30,46,2019-01-04 13:27:00,2019-01-04 13:36:00,2019-01-04 13:49:00,2019-01-04 14:07:00,3
31,78,2019-01-04 13:41:00,2019-01-04 13:57:00,2019-01-04 14:03:00,2019-01-04 14:10:00,3
32,74,2019-01-04 14:38:00,2019-01-04 14:57:00,2019-01-04 15:16:00,2019-01-04 15:31:00,5
33,64,2019-01-04 15:23:00,2019-01-04 15:33:00,2019-01-04 15:41:00,2019-01-04 15:51:00,5
34,50,2019-01-04 16:25:00,2019-01-04 16:31:00,2019-01-04 16:41:00,2019-01-04 16:59:00,3
35,80,2019-01-04 16:32:00,2019-01-04 16:47:00,2019-01-04 17:03:00,2019-01-04 17:16:00,5
36,77,2019-01-04 17:54:00,2019-01-04 18:10:00,2019-01-04 18:15:00,2019-01-04 18:23:00,5
37,75,2019-01-04 19:30:00,2019-01-04 19:48:00,2019-01-04 20:02:00,2019-01-04 20:07:00,4
38,77,2019-01-04 20:15:00,2019-01-04 20:28:00,2019-01-04 20:34:00,2019-01-04 20:53:00,5
39,52,2019-01-05 11:48:00,2019-01-05 11:58:00,2019-01-05 12:06:00,2019-01-05 12:14:00,5
40,72,2019-01-05 12:45:00,2019-01-05 12:53:00,2019-01-05 13:11:00,2019-01-05 13:21:00,4
41,66,2019-01-05 13:04:00,2019-01-05 13:22:00,2019-01-05 13:37:00,2019-01-05 13:48:00,4
42,46,2019-01-05 14:23:00,2019-01-05 14:36:00,2019-01-05 14:55:00,2019-01-05 15:11:00,3
43,84,2019-01-05 14:46:00,2019-01-05 15:03:00,2019-01-05 15:20:00,2019-01-05 15:26:00,4
44,49,2019-01-05 15:16:00,2019-01-05 15:29:00,2019-01-05 15:36:00,2019-01-05 15:50:00,3
45,72,2019-01-05 15:19:00,2019-01-05 15:34:00,2019-01-05 15:43:00,2019-01-05 15:53:00,4
46,85,2019-01-05 16:49:00,2019-01-05 17:07:00,2019-01-05 17:13:00,2019-01-05 17:20:00,5
47,72,2019-01-06 10:36:00,2019-01-06 10:45:00,2019-01-06 10:55:00,2019-01-06 11:10:00,4
48,58,2019-01-06 12:29:00,2019-01-06 12:38:00,2019-01-06 12:53:00,2019-01-06 13:12:00,3
49,76,2019-01-06 14:16:00,2019-01-06 14:31:00,2019-01-06 14:46:00,2019-01-06 14:56:00,5
50,52,2019-01-06 14:27:00,2019-01-06 14:43:00,2019-01-06 14:57:00,2019-01-06 15:03:00,5
51,77,2019-01-06 14:53:00,2019-01-06 15:00:00,2019-01-06 15:06:00,2019-01-06 15:20:00,3
52,79,2019-01-06 15:11:00,2019-01-06 15:17:00,2019-01-06 15:31:00,2019-01-06 15:50:00,4
53,71,2019-01-06 15:18:00,2019-01-06 15:34:00,2019-01-06 15:52:00,2019-01-06 16:08:00,3
54,59,2019-01-06 17:38:00,2019-01-06 17:50:00,2019-01-06 17:56:00,2019-01-06 18:03:00,4
55,44,2019-01-06 20:26:00,2019-01-06 20:44:00,2019-01-06 21:01:00,2019-01-06 21:09:00,4
56,50,2019-01-07 11:14:00,2019-01-07 11:21:00,2019-01-07 11:38:00,2019-01-07 11:51:00,4
57,67,2019-01-07 11:13:00,2019-01-07 11:28:00,2019-01-07 11:41:00,2019-01-07 11:53:00,5
58,54,2019-01-07 11:18:00,2019-01-07 11:34:00,2019-01-07 11:43:00,2019-01-07 11:59:00,3
59,61,2019-01-07 11:23:00,2019-01-07 11:35:00,2019-01-07 11:50:00,2019-01-07 12:02:00,3
60,45,2019-01-07 17:11:00,2019-01-07 17:22:00,2019-01-07 17:35:00,2019-01-07 17:42:00,4
61,58,2019-01-07 17:31:00,2019-01-07 17:36:00,2019-01-07 17:54:00,2019-01-07 18:05:00,5
62,61,2019-01-07 17:43:00,2019-01-07 17:48:00,2019-01-07 18:01:00,2019-01-07 18:08:00,4
63,71,2019-01-07 20:30:00,2019-01-07 20:39:00,2019-01-07 20:51:00,2019-01-07 21:05:00,3
64,62,2019-01-07 21:19:00,2019-01-07 21:33:00,2019-01-07 21:44:00,2019-01-07 22:00:00,5
65,52,2019-01-07 21:51:00,2019-01-07 22:08:00,2019-01-07 22:16:00,2019-01-07 22:29:00,4
66,69,2019-01-08 12:42:00,2019-01-08 12:56:00,2019-01-08 13:14:00,2019-01-08 13:27:00,3
67,83,2019-01-08 12:54:00,2019-01-08 13:01:00,2019-01-08 13:17:00,2019-01-08 13:32:00,5
68,62,2019-01-08 16:08:00,2019-01-08 16:17:00,2019-01-08 16:24:00,2019-01-08 16:39:00,4
69,63,2019-01-08 18:23:00,2019-01-08 18:28:00,2019-01-08 18:41:00,2019-01-08 19:00:00,5
70,80,2019-01-08 18:29:00,2019-01-08 18:44:00,2019-01-08 18:52:00,2019-01-08 18:57:00,4
71,69,2019-01-09 10:30:00,2019-01-09 10:35:00,2019-01-09 10:54:00,2019-01-09 11:03:00,3
72,68,2019-01-09 10:33:00,2019-01-09 10:41:00,2019-01-09 10:58:00,2019-01-09 11:13:00,4
73,73,2019-01-09 11:43:00,2019-01-09 11:57:00,2019-01-09 12:16:00,2019-01-09 12:21:00,3
74,72,2019-01-09 12:43:00,2019-01-09 12:58:00,2019-01-09 13:15:00,2019-01-09 13:24:00,3
75,63,2019-01-09 12:59:00,2019-01-09 13:15:00,2019-01-09 13:29:00,2019-01-09 13:35:00,5
76,73,2019-01-09 13:49:00,2019-01-09 14:05:00,2019-01-09 14:19:00,2019-01-09 14:36:00,5
77,85,2019-01-09 14:23:00,2019-01-09 14:30:00,2019-01-09 14:39:00,2019-01-09 14:49:00,5
78,82,2019-01-09 14:30:00,2019-01-09 14:35:00,2019-01-09 14:41:00,2019-01-09 14:47:00,5
79,70,2019-01-09 16:21:00,2019-01-09 16:29:00,2019-01-09 16:42:00,2019-01-09 16:59:00,3
80,82,2019-01-09 17:08:00,2019-01-09 17:26:00,2019-01-09 17:39:00,2019-01-09 17:58:00,3
81,81,2019-01-09 20:02:00,2019-01-09 20:11:00,2019-01-09 20:29:00,2019-01-09 20:45:00,3
82,61,2019-01-10 12:09:00,2019-01-10 12:27:00,2019-01-10 12:34:00,2019-01-10 12:44:00,3
83,77,2019-01-10 12:17:00,2019-01-10 12:33:00,2019-01-10 12:52:00,2019-01-10 13:10:00,3
84,83,2019-01-10 12:35:00,2019-01-10 12:53:00,2019-01-10 13:06:00,2019-01-10 13:20:00,4
85,78,2019-01-10 13:36:00,2019-01-10 13:52:00,2019-01-10 14:10:00,2019-01-10 14:20:00,3
86,69,2019-01-10 14:22:00,2019-01-10 14:30:00,2019-01-10 14:43:00,2019-01-10 14:59:00,5
87,72,2019-01-10 16:56:00,2019-01-10 17:11:00,2019-01-10 17:30:00,2019-01-10 17:41:00,5
88,80,2019-01-10 18:04:00,2019-01-10 18:18:00,2019-01-10 18:37:00,2019-01-10 18:42:00,4
89,81,2019-01-10 19:23:00,2019-01-10 19:41:00,2019-01-10 19:56:00,2019-01-10 20:02:00,4
90,81,2019-01-10 20:40:00,2019-01-10 20:47:00,2019-01-10 21:05:00,2019-01-10 21:18:00,5
91,84,2019-01-11 12:10:00,2019-01-11 12:25:00,2019-01-11 12:35:00,2019-01-11 12:40:00,5
92,83,2019-01-11 14:14:00,2019-01-11 14:26:00,2019-01-11 14:43:00,2019-01-11 14:50:00,5
93,62,2019-01-11 16:09:00,2019-01-11 16:14:00,2019-01-11 16:33:00,2019-01-11 16:41:00,3
94,73,2019-01-11 18:00:00,2019-01-11 18:09:00,2019-01-11 18:23:00,2019-01-11 18:37:00,4
95,83,2019-01-11 19:50:00,2019-01-11 20:09:00,2019-01-11 20:15:00,2019-01-11 20:24:00,3
96,85,2019-01-11 19:52:00,2019-01-11 20:06:00,2019-01-11 20:14:00,2019-01-11 20:21:00,3
97,81,2019-01-11 20:49:00,2019-01-11 20:54:00,2019-01-11 21:10:00,2019-01-11 21:20:00,5
98,80,2019-01-11 21:05:00,2019-01-11 21:12:00,2019-01-11 21:19:00,2019-01-11 21:24:00,4
